file_path,pdf_folder,dbscan_cluster
../Data/images\FS1\page_001.png,FS1,0
../Data/images\FS1\page_002.png,FS1,-1
../Data/images\FS1\page_003.png,FS1,0
../Data/images\FS1\page_004.png,FS1,0
../Data/images\FS1\page_005.png,FS1,0
../Data/images\FS1\page_006.png,FS1,0
../Data/images\FS1\page_007.png,FS1,0
../Data/images\FS1\page_008.png,FS1,-1
../Data/images\FS1\page_009.png,FS1,0
../Data/images\FS1\page_010.png,FS1,0
../Data/images\FS1\page_011.png,FS1,0
../Data/images\FS1\page_012.png,FS1,0
../Data/images\FS1\page_013.png,FS1,0
../Data/images\FS1\page_014.png,FS1,0
../Data/images\FS1\page_015.png,FS1,0
../Data/images\FS1\page_016.png,FS1,0
../Data/images\FS1\page_017.png,FS1,0
../Data/images\FS1\page_018.png,FS1,0
../Data/images\FS1\page_019.png,FS1,0
../Data/images\FS1\page_020.png,FS1,0
../Data/images\FS1\page_021.png,FS1,-1
../Data/images\FS1\page_022.png,FS1,-1
../Data/images\FS1\page_023.png,FS1,0
../Data/images\FS1\page_024.png,FS1,0
../Data/images\FS1\page_025.png,FS1,0
../Data/images\FS1\page_026.png,FS1,0
../Data/images\FS1\page_027.png,FS1,0
../Data/images\FS1\page_028.png,FS1,0
../Data/images\FS1\page_029.png,FS1,-1
../Data/images\FS1\page_030.png,FS1,0
../Data/images\FS1\page_031.png,FS1,0
../Data/images\FS1\page_032.png,FS1,0
../Data/images\FS1\page_033.png,FS1,0
../Data/images\FS10\page_001.png,FS10,0
../Data/images\FS10\page_002.png,FS10,0
../Data/images\FS10\page_003.png,FS10,0
../Data/images\FS10\page_004.png,FS10,0
../Data/images\FS10\page_005.png,FS10,0
../Data/images\FS10\page_006.png,FS10,0
../Data/images\FS10\page_007.png,FS10,0
../Data/images\FS10\page_008.png,FS10,-1
../Data/images\FS10\page_009.png,FS10,0
../Data/images\FS10\page_010.png,FS10,0
../Data/images\FS10\page_011.png,FS10,0
../Data/images\FS10\page_012.png,FS10,0
../Data/images\FS10\page_013.png,FS10,0
../Data/images\FS10\page_014.png,FS10,0
../Data/images\FS10\page_015.png,FS10,0
../Data/images\FS10\page_016.png,FS10,0
../Data/images\FS10\page_017.png,FS10,0
../Data/images\FS10\page_018.png,FS10,0
../Data/images\FS10\page_019.png,FS10,0
../Data/images\FS10\page_020.png,FS10,0
../Data/images\FS10\page_021.png,FS10,0
../Data/images\FS10\page_022.png,FS10,0
