file_path,pdf_folder,umap_x,umap_y
../Data/images\FS1\page_001.png,FS1,2.6124754,-15.922188
../Data/images\FS1\page_002.png,FS1,2.5314386,-15.903722
../Data/images\FS1\page_003.png,FS1,5.8699675,-11.656687
../Data/images\FS1\page_004.png,FS1,5.786072,-12.089215
../Data/images\FS1\page_005.png,FS1,2.7380576,-10.235924
../Data/images\FS1\page_006.png,FS1,13.629881,-13.217127
../Data/images\FS1\page_007.png,FS1,11.119901,-12.863474
../Data/images\FS1\page_008.png,FS1,15.107943,-13.064105
../Data/images\FS1\page_009.png,FS1,13.244109,-13.4073305
../Data/images\FS1\page_010.png,FS1,13.925607,-12.985261
../Data/images\FS1\page_011.png,FS1,3.5329885,-9.708819
../Data/images\FS1\page_012.png,FS1,4.6283274,-10.768078
../Data/images\FS1\page_013.png,FS1,3.4833832,-9.65195
../Data/images\FS1\page_014.png,FS1,4.124452,-9.219542
../Data/images\FS1\page_015.png,FS1,3.128034,-10.442351
../Data/images\FS1\page_016.png,FS1,4.0857396,-9.243491
../Data/images\FS1\page_017.png,FS1,2.7918038,-10.41263
../Data/images\FS1\page_018.png,FS1,3.6775053,-9.595126
../Data/images\FS1\page_019.png,FS1,3.379265,-9.6926565
../Data/images\FS1\page_020.png,FS1,5.3139625,-11.444292
../Data/images\FS1\page_021.png,FS1,15.146666,-12.996699
../Data/images\FS1\page_022.png,FS1,15.158601,-13.020611
../Data/images\FS1\page_023.png,FS1,9.630472,-12.935552
../Data/images\FS1\page_024.png,FS1,11.592778,-13.184783
../Data/images\FS1\page_025.png,FS1,9.766615,-12.190795
../Data/images\FS1\page_026.png,FS1,11.511323,-12.483957
../Data/images\FS1\page_027.png,FS1,10.637601,-12.210108
../Data/images\FS1\page_028.png,FS1,10.926611,-12.502521
../Data/images\FS1\page_029.png,FS1,15.121527,-13.077097
../Data/images\FS1\page_030.png,FS1,12.249727,-12.741787
../Data/images\FS1\page_031.png,FS1,10.496922,-12.037649
../Data/images\FS1\page_032.png,FS1,11.4688425,-11.63531
../Data/images\FS1\page_033.png,FS1,5.7767344,-9.161097
../Data/images\FS10\page_001.png,FS10,2.814045,-15.617248
../Data/images\FS10\page_002.png,FS10,1.4653664,-16.195562
../Data/images\FS10\page_003.png,FS10,5.8709507,-11.624848
../Data/images\FS10\page_004.png,FS10,5.7936664,-11.67937
../Data/images\FS10\page_005.png,FS10,2.749788,-10.277304
../Data/images\FS10\page_006.png,FS10,13.910861,-14.004228
../Data/images\FS10\page_007.png,FS10,13.901366,-14.016208
../Data/images\FS10\page_008.png,FS10,13.950442,-12.882699
../Data/images\FS10\page_009.png,FS10,11.973004,-13.307031
../Data/images\FS10\page_010.png,FS10,13.96971,-13.83736
../Data/images\FS10\page_011.png,FS10,11.68932,-11.6063595
../Data/images\FS10\page_012.png,FS10,3.8069918,-9.990045
../Data/images\FS10\page_013.png,FS10,3.8803167,-9.8492565
../Data/images\FS10\page_014.png,FS10,4.510613,-9.377177
../Data/images\FS10\page_015.png,FS10,3.4899094,-9.653244
../Data/images\FS10\page_016.png,FS10,2.8759098,-10.086517
../Data/images\FS10\page_017.png,FS10,2.9992156,-9.867889
../Data/images\FS10\page_018.png,FS10,3.0148041,-10.231995
../Data/images\FS10\page_019.png,FS10,4.483149,-9.311732
../Data/images\FS10\page_020.png,FS10,4.70204,-10.526258
../Data/images\FS10\page_021.png,FS10,3.6961405,-9.367059
../Data/images\FS10\page_022.png,FS10,4.6306567,-8.847045
../Data/images\FS10\page_023.png,FS10,13.886078,-11.659327
../Data/images\FS10\page_024.png,FS10,13.132237,-12.081341
../Data/images\FS10\page_025.png,FS10,11.467612,-12.846585
../Data/images\FS10\page_026.png,FS10,12.42064,-12.022813
../Data/images\FS10\page_027.png,FS10,12.721865,-12.325114
../Data/images\FS10\page_028.png,FS10,11.051636,-12.231718
../Data/images\FS10\page_029.png,FS10,10.962982,-11.970735
../Data/images\FS10\page_030.png,FS10,11.195127,-12.663305
../Data/images\FS10\page_031.png,FS10,12.652686,-13.28087
../Data/images\FS10\page_032.png,FS10,11.587572,-13.40652
../Data/images\FS10\page_033.png,FS10,13.4160385,-12.251706
../Data/images\FS10\page_034.png,FS10,11.02783,-12.690929
../Data/images\FS10\page_035.png,FS10,11.137236,-11.670922
../Data/images\FS10\page_036.png,FS10,8.564673,-12.201659
../Data/images\FS10\page_037.png,FS10,11.69271,-11.692618
../Data/images\FS11\page_001.png,FS11,2.8441603,-15.5723095
../Data/images\FS11\page_002.png,FS11,1.5931884,-16.111572
../Data/images\FS11\page_003.png,FS11,5.7811933,-11.390315
../Data/images\FS11\page_004.png,FS11,5.721579,-11.635004
../Data/images\FS11\page_005.png,FS11,2.6731837,-10.299206
../Data/images\FS11\page_006.png,FS11,14.084888,-13.886537
../Data/images\FS11\page_007.png,FS11,13.861949,-13.715444
../Data/images\FS11\page_008.png,FS11,14.11083,-12.771715
../Data/images\FS11\page_009.png,FS11,13.981901,-13.909445
../Data/images\FS11\page_010.png,FS11,8.825071,-12.055144
../Data/images\FS11\page_011.png,FS11,2.7511237,-10.28893
../Data/images\FS11\page_012.png,FS11,2.9075003,-10.077906
../Data/images\FS11\page_013.png,FS11,3.085151,-9.901264
../Data/images\FS11\page_014.png,FS11,3.2080638,-9.790053
../Data/images\FS11\page_015.png,FS11,3.8275025,-9.479328
../Data/images\FS11\page_016.png,FS11,4.0796666,-13.319402
../Data/images\FS11\page_017.png,FS11,13.725518,-12.117596
../Data/images\FS11\page_018.png,FS11,9.312638,-12.634891
../Data/images\FS11\page_019.png,FS11,11.623118,-13.097034
